danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.711,0.133,11,-20.988,0,0.95,0.56,0.0,0.345,0.707,129.829,96300,5
0.464,0.712,1,-5.703,1,0.0391,0.0029,0.0044,0.0693,0.651,163.92,273333,4
0.589,0.633,4,-12.65,0,0.0338,0.0371,0.00172,0.106,0.52,93.02,264400,4
0.695,0.602,0,-6.827,1,0.071,0.103,0.00516,0.365,0.28,87.496,252653,4
0.365,0.717,0,-6.133,1,0.0424,0.426,0.0,0.0705,0.244,139.41,283867,4
0.503,0.446,5,-6.279,1,0.0547,0.904,0.0,0.303,0.476,174.062,160661,4
0.734,0.924,7,-11.908,1,0.0728,0.00895,0.631,0.374,0.341,111.216,151162,4
0.148,0.183,11,-18.849,1,0.034,0.948,0.492,0.108,0.211,167.17,201640,4
0.456,0.897,9,-6.81,1,0.0599,0.00182,0.0104,0.303,0.346,114.905,218613,4
0.603,0.224,10,-13.169,1,0.0407,0.718,0.000101,0.0921,0.406,140.08,275200,4
0.514,0.513,0,-11.138,0,0.0344,0.677,0.0368,0.0487,0.707,96.783,363387,4
0.568,0.586,7,-11.491,1,0.0597,0.819,0.881,0.202,0.831,119.796,281840,4
0.664,0.859,5,-9.464,1,0.0317,0.265,0.0261,0.0971,0.939,87.136,356531,4
0.765,0.577,10,-15.334,0,0.103,0.091,0.0539,0.0711,0.85,133.766,268427,4
0.608,0.855,0,-7.512,1,0.0358,0.00814,1.11e-06,0.317,0.693,121.197,191653,3
0.684,0.498,4,-10.836,1,0.03,0.708,0.0,0.365,0.905,131.855,123133,4
0.632,0.657,3,-5.144,0,0.0967,0.0292,0.0,0.233,0.151,91.38,229080,4
0.493,0.206,0,-14.796,1,0.0355,0.718,0.0,0.101,0.168,128.92,268173,3
0.416,0.245,5,-15.172,1,0.0307,0.979,0.227,0.219,0.534,143.098,481627,4
0.371,0.0123,9,-35.068,0,0.0492,0.718,0.000311,0.113,0.0366,100.609,116907,4
